文章名,期刊名,DOI,年份,摘要,材料,机制
Bulk electronic transport impacts on electron transfer at conducting polymer electrode-electrolyte interfaces,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.1806087115,2018,"Electrochemistry is an old but still flourishing field of research due to the importance of the efficiency and kinetics of electrochemical reactions in industrial processes and (bio-)electrochemical devices. The heterogeneous electron transfer from an electrode to a reactant in the solution has been well studied for metal, semiconductor, metal oxide, and carbon electrodes. For those electrode materials, there is little correlation between the electronic transport within the electrode material and the electron transfer occurring at the interface between the electrode and the solution. Here, we investigate the heterogeneous electron transfer between a conducting polymer electrode and a redox couple in an electrolyte. As a benchmark system, we use poly(3,4-ethylenedioxythiophene) (PEDOT) and the Ferro/ferricyanide redox couple in an aqueous electrolyte. We discovered a strong correlation between the electronic transport within the PEDOT electrode and the rate of electron transfer to the organometallic molecules in solution. We attribute this to a percolation-based charge transport within the polymer electrode directly involved in the electron transfer. We show the impact of this finding by optimizing an electrochemical thermogalvanic cell that transforms a heat flux into electrical power. The power generated by the cell increased by four orders of magnitude on changing the morphology and conductivity of the polymer electrode. As all conducting polymers are recognized to have percolation transport, we believe that this is a general phenomenon for this family of conductors.",PEDOT conducting polymer electrode with ferro/ferricyanide electrolyte,percolation-based bulk electronic transport in PEDOT controls heterogeneous electron transfer and thermogalvanic power
Carbon Nanotube - Reduced Graphene Oxide Composites for Thermal Energy Harvesting Applications,ADVANCED MATERIALS,10.1002/adma.201303295,2013,,CNT-reduced graphene oxide composite thermocell electrodes,abstract unavailable; title indicates CNT/rGO carbon composite electrodes for thermal energy harvesting thermocells
Thermal Gradient Infrared Spectroscopy for Diffusion in Polymers,JOURNAL OF PHYSICAL CHEMISTRY B,10.1021/acs.jpcb.3c04130,2023,"Time-resolved Fourier transform infrared-attenuated total reflectance spectroscopy (FTIR-ATR) was used to measure diffusion in opaque and translucent samples. FTIR-ATR was used to measure the change in the absorbance near the heated ATR crystal surface. The infrared absorbance was then related to the concentration through the Beer-Lambert law. The sample used is a polymer electrolyte composed of lithium bis-trifluoromethanesulfonylimide (LiTFSI) salt in a block copolymer polystyrene-poly(ethylene oxide) (SEO). A new approach to introduce concentration gradients is presented using a temperature gradient that creates a small salt concentration gradient due to thermally driven mass diffusion (the Soret effect). This first method was compared to a second method that we reported using two laminated polymer electrolyte films of different salt concentrations. The thermal gradient study (method 1) covered three temperature differences of 10, 15, and 20 degrees C, while the second study (method 2) used three average molar ratios across isothermal temperatures ranging from 80 to 120 degrees C. The benefits and limitations of the new approach are reported, as is the activation energy for salt diffusion in this and similar SEO electrolytes. Developing new techniques to measure diffusion coefficients effectively will aid in the development of a variety of devices, including solid-state batteries and thermogalvanic cells, that are able to convert waste heat into electricity and improve the efficiency of power-generating systems. FTIR-ATR overcomes previous limitations in experimental techniques measuring diffusion coefficients. The results prove that thermal gradient FTIR-ATR is an effective and repeatable approach for determining Fickian diffusion coefficients in viscoelastic solids.",SEO block copolymer/LiTFSI polymer electrolyte studied by thermal-gradient FTIR-ATR,temperature-gradient Soret effect creates salt concentration gradients used to measure diffusion in polymer electrolytes relevant to thermogalvanic cells
Exploiting the waste heat from an alkaline fuel cell via electrochemical cycles,ENERGY,10.1016/j.energy.2017.10.112,2018,"Based on the current models of an alkaline fuel cell (AFC) and a thermally regenerative electrochemical cycle (TREC), a novel model of the hybrid system consisting of an AFC, n TRECs, and a regenerator is proposed. The maximum power output density of the hybrid system is calculated. It is found that when the regenerative efficiency of TRECs is in the 0.4-0.8 range, the maximum power output density of the hybrid system is about 1.46-1.77 times of that of the AFC. Moreover, the influences of the current density of the AFC and the regeneration efficiency of the TRECs on the performance characteristics of the hybrid system are discussed in detail. The choice criteria of main parameters are given. The performances of several AFC -based hybrid systems are compared. When the AFC is operated at 353 K, the maximum power output density of the AFC-TREC hybrid system is about 2 times of that of the AFC-TEG hybrid system, 2.42 times of that of the AFC-refrigerator hybrid system, 1.17 times of that of the AFC-heat driven hybrid system, respectively. The results obtained show that the proposed model can more efficiently harvest the waste heat released from AFCs than other AFC -based hybrid systems. (C) 2017 Elsevier Ltd. All rights reserved.","AFC-TREC hybrid system with alkaline fuel cell, multiple TRECs, and regenerator",thermally regenerative electrochemical cycles harvest alkaline fuel-cell waste heat to raise hybrid power density
Ionic transport properties and their empirical correlations for thermal-to-electrical energy conversion,MATERIALS TODAY PHYSICS,10.1016/j.mtphys.2021.100433,2021,"Thermal-to-electrical energy conversion due to the thermo-diffusion of ions is an emerging field of study, which has attracted significant research efforts over the past several years due to unprecedentedly large thermopower over several mV/K compared to 10(-2)-10(-1) mV/K from conventional electronic thermoelectric materials. Nevertheless, key enabling principles and general rules for achieving the extraordinary properties have yet to be fully unveiled due to the complexity in establishing consolidated theories unlike crystalline solids. Here we suggest empirical relationships between ionic conductivity and ionic thermopower as well as their dependency on relative humidity (RH). It is very intriguing to see both ionic electrical conductivity and ionic thermopower are simultaneously improved as RH is raised, in contrast to their adverse correlation in conventional electronic thermoelectrics, offering potential breakthroughs for large performance enhancement. This paper mainly focuses on the thermo-diffusion of ions called the Soret effect in solid-state polyelectrolytes due to their large thermopower, and their transport properties were described in comparison to electronic Seebeck effects. Representative materials and their device applications are introduced along with underlying physics and perspectives. We anticipate that this work serves as a guide for exercising their outstanding properties as well as opening up new strategies for thermal-to-electrical energy conversion. (C) 2021 Elsevier Ltd. All rights reserved.",solid-state polyelectrolytes with ionic thermodiffusion/Soret effect,humidity-dependent ion conductivity and thermopower correlations guide thermal-to-electrical conversion by mobile ions
Using electrochemical cycles to efficiently exploit the waste heat from a proton exchange membrane fuel cell,ENERGY CONVERSION AND MANAGEMENT,10.1016/j.enconman.2017.04.058,2017,"With the help of the current models of a proton exchange membrane fuel cell (PEMFC) and a thermally regenerative electrochemical cycle (TREC), a novel model of the hybrid system composed of a PEMFC and N TRECs is established. The TRECs in the system can effectively exploit the waste heat released form the PEMFC. The expressions for the power output and efficiency of the hybrid system are analytically derived. The effects of some key parameters including the electric current density and electrode area of the PEMFC and the electric current and regenerative efficiency of TRECs on the performance of the system are discussed in detail. It is found that when the regenerative efficiency of TRECs is in the range of 0.2-0.8, the maximum power output density of the hybrid system is about 1.11-1.20 times of that of the PEMFC. The maximum power output densities and corresponding efficiencies of the hybrid system at the differently operating temperatures of the PEMFC are calculated and compared with those of other PEMFC-based hybrid systems, and consequently, it is revealed that the proposed model can more efficiently utilize the waste heat produced in a PEMFC than other PEMFC-based hybrid systems. (C) 2017 Elsevier Ltd. All rights reserved.",PEMFC-TREC hybrid system,thermally regenerative electrochemical cycles exploit proton-exchange-membrane fuel-cell waste heat and increase system power output
Thermo-electrochemical cells empowered by selective inclusion of redox-active ions by polysaccharides,SUSTAINABLE ENERGY & FUELS,10.1039/c7se00470b,2018,"Thermo-electrochemical cells (TECs) are a class of thermoelectric materials that offer high thermoelectric voltage (Seebeck coefficient) with potentially lower costs compared to the conventional thermoelectric materials. To maximize the potential of TECs, we show that the Seebeck coefficient of TECs with a redox pair of I-/I3(-) is enhanced by introducing polymer-ion interactions. Starch and polyvinylpyrrolidone (PVP) are employed as polymeric hosts for I-3(-) ions. The effective concentration of free I-3(-) ions in the cold cell decreases due to their selective inclusion in host polymers, resulting in an increase of the [I-]/[I-3(-)] ratio. Meanwhile in the higher temperature cell, the inclusion of I-3(-) ions by host polymers is less effective and the [I-]/[I-3(-)] ratio is mostly determined by the intrinsic equilibrium without polymers. Consequently, the two electrode cells differing in temperature show a considerable difference in the concentration of I-3(-) ions, which causes a significant increase of the Seebeck coefficient up to 1.5 mV K-1. The performance of polymer TECs can be tuned depending on the polymer-I-3(-) interactions, and starch showed notable performance as compared to PVP, with increased output power by a factor of two.",I-/I3- thermo-electrochemical cells with starch or PVP polysaccharide/polymer hosts,selective polymer inclusion of I3- at cold side changes free triiodide concentration and increases Seebeck coefficient
High-efficiency zinc thermal charging supercapacitors enabled by hierarchical porous carbon electrodes,JOURNAL OF POWER SOURCES,10.1016/j.jpowsour.2022.232386,2023,"High value-added utilization of ubiquitous low-grade heat shows great importance to energy regulation. liquid thermocell is considered as promising candidate for converting heat into electricity due to its high Seebeck coefficient and facile operation. However, the challenging integration of dozens of tiny devices is still required to generate a useful voltage, which greatly blocks the development of thermocells. Here, a well-defined nitrogen -doped hierarchical porous carbon (NHPC) obtained by self-template carbonization and alkaline activation is employed to construct high-performance zinc ion thermal charging supercapacitors (ZTSC) for the integration of energy conversion and storage. Significantly, continuous architecture of NHPC can enlarge the electrochemical active surface and shorten the diffusion pathways of electrolyte ions. Consequently, a high energy/power density of 71.8 Wh kg -1/10.3 kW kg- 1 can be achieved. Moreover, NHPC based ZTSC can output an attractive voltage of 1.16 V, a high thermopower of 31.4 mV K-1, and a superior normalized power density of 15.3 mW m- 2 K-2 with a temperature difference of 27 K. This work not only provides a facile strategy to prepare promising carbon materials, but also demonstrates the possibility of hybrid supercapacitors for heat-to-current conversion and storage.",zinc-ion thermal charging supercapacitor with nitrogen-doped hierarchical porous carbon electrodes,"hierarchical porous carbon expands active surface and shortens ion diffusion, integrating thermocell heat conversion with Zn supercapacitor storage"
Maximal continuous power output and parametric optimum design of an electrochemical system driven by low-grade heat,ENERGY CONVERSION AND MANAGEMENT,10.1016/j.enconman.2017.01.045,2017,"A new model of the electrochemical system consisting of multiple thermally regenerative electrochemical cycles (TRECs) Working in different states is proposed to solve the problem of discontinuous power output. This system can efficiently harvest low-temperature waste heat and realize the continuous power output. Based on the performance of a single TREC, the power output and efficiency of the system are analytically derived. The effects of the electric current on the power output and the upper and lower boundaries of the efficiency are discussed. The general performance characteristics of the system at the maximum power output are revealed. Moreover, it is expounded that when the system is operated at the state of the maximum efficiency-power product, the systemic performance relative to the state of the maximum power output may have an obvious improvement. For example, when the Carnot efficiency of the system is smaller than 0.2, the improvement ratio of the systemic performance is larger than 16%. The results obtained here show that the system should be operated between the maximum power output and the maximum efficiency-power product. Consequently, the optimal criteria of the parametric design are provided and the rationally operating region of the system is determined. (C) 2017 Elsevier Ltd. All rights reserved.",multi-TREC electrochemical system operating in different states,multiple thermally regenerative electrochemical cycles are staggered to convert low-grade heat into continuous power with optimized current/efficiency tradeoffs
Take it to the Carnot limit: Perspectives and thermodynamics of dual-cell electrochemical heat engines,ENERGY CONVERSION AND MANAGEMENT,10.1016/j.enconman.2022.116315,2022,"In electrochemical dual-cell heat engines, the conduction of heat and electricity are fully decoupled, allowing their independent optimisation to maximise the conversion efficiency. Despite this advantage, the dual-cell electrochemical heat engine has only been explored superficially in previous studies. Here we address the in-depth thermodynamic aspects of the heat engines integrated with two electrochemical flow cells and assess the route to achieve a high heat-to-electricity conversion efficiency and system's power output. Our theoretical analysis revealed for the first time that in the dual-cell electrochemical system, the flow rate must be controlled as a response to the electrical current, and conversion efficiency no longer depend on the conventional ther-moelectric figure-of-merit. Based on established principles and considering tremendous advancements for the past 10 years within thermogalavic materials and flow battery systems, our analysis presents that it is realistic to develop dual-cell electrochemical heat engines that can be operated at conversion efficiencies approaching the Carnot limit, reaching 10.1 % and 19.3 % at maximum power point and maximum conversion efficiency con-ditions, respectively, under the temperature gradient of 80 degrees C.",dual-cell electrochemical heat engine with two electrochemical flow cells,separating heat and electrical conduction allows independent flow/current optimization and potential approach to Carnot efficiency
Design and optimization of thermo-electrochemical cells,JOURNAL OF APPLIED ELECTROCHEMISTRY,10.1007/s10800-013-0638-y,2014,"Thermo-electrochemical cells (or thermocells) convert thermal energy to electricity in continuous operation based on a balance of ion conduction and redox reactions at hot and cold electrodes. In this study, the fundamental governing equations for mass and heat transfer, fluid dynamics, and electrokinetics in thermocells are presented and solved numerically using COMSOL. A parametric study is performed to explore the limitations and optimal cell dimensions for maximum energy conversion efficiency in thermocells. Series-stacking designs are demonstrated to have the potential to increase conversion efficiency by 100 % compared to a single cell configuration. Natural convection is shown to significantly increase the conversion efficiency of thermocells with conventional aqueous electrolyte (0.4 M potassium ferri/ferrocyanide), by compressing the diffusive boundary layers. A flow cell thermocell design is also considered. Results reveal that the ohmic resistance of the electrolyte limits the energy conversion efficiency of this design.",COMSOL-modeled thermocells with 0.4 M potassium ferri/ferrocyanide electrolyte,"mass/heat transfer, fluid dynamics, electrokinetics, and natural convection determine optimal thermocell dimensions and series-stacking efficiency"
Thermoelectric energy recovery at ionic-liquid/electrode interface,JOURNAL OF CHEMICAL PHYSICS,10.1063/1.4923199,2015,"A thermally chargeable capacitor containing a binary solution of 1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)-imide in acetonitrile is electrically charged by applying a temperature gradient to two ideally polarisable electrodes. The corresponding thermoelectric coefficient is -1.7 mV/K for platinum foil electrodes and -0.3 mV/K for nanoporous carbon electrodes. Stored electrical energy is extracted by discharging the capacitor through a resistor. The measured capacitance of the electrode/ionic-liquid interface is 5 mu F for each platinum electrode while it becomes four orders of magnitude larger, approximate to 36 mF, for a single nanoporous carbon electrode. Reproducibility of the effect through repeated charging-discharging cycles under a steady-state temperature gradient demonstrates the robustness of the electrical charging process at the liquid/electrode interface. The acceleration of the charging by convective flows is also observed. This offers the possibility to convert waste-heat into electric energy without exchanging electrons between ions and electrodes, in contrast to what occurs in most thermogalvanic cells. (C) 2015 AIP Publishing LLC.",EMIm TFSI/acetonitrile thermally chargeable capacitor with platinum foil or nanoporous carbon electrodes,"temperature gradient charges ionic-liquid/electrode double layers without Faradaic electron exchange, storing recoverable electrical energy"
Seebeck coefficients in ionic liquids -prospects for thermo-electrochemical cells,CHEMICAL COMMUNICATIONS,10.1039/c1cc11501d,2011,Measurement of Seebeck coefficients in a range of ionic liquids (ILs) suggests that these electrolytes could enable the development of thermoelectric devices to generate electrical energy from low-grade heat in the 100-150 degrees C range.,ionic-liquid electrolytes for thermo-electrochemical cells,ionic liquids show Seebeck coefficients suitable for low-grade heat thermoelectric devices at 100-150 C
Flexible and non-volatile redox active quasi-solid state ionic liquid based electrolytes for thermal energy harvesting,SUSTAINABLE ENERGY & FUELS,10.1039/c8se00224j,2018,"The conversion of low-grade thermal energy to electricity using thermoelectrochemical cells (TECs) is a promising route to sustainable electricity production. Developing a leak-free and flexible electrolyte is an important requirement for increasing the safety of these energy harvesting devices. Here, the addition of polymers to non-volatile redox active ionic liquid electrolytes has been investigated. Polyvinylidene difluoride (PVDF) or poly(vinylidene fluoride-co-hexafluoropropene) (PVDF-HFP) was added to an ionic liquid electrolyte, consisting of a [Co(bpy)(3)](2+/3+) redox couple in 1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide ([C(2)mim][NTf2]), to produce either soft gels or free-standing films depending on the polymer content. These quasi-solid state electrolytes have a Seebeck coefficient as high as the liquid electrolyte. The effect of gelation, with different amounts of polymer, on the diffusion coefficient of the redox species is reported. Finally, the first thermal energy harvesting performance of a non-volatile, flexible redox active quasi-solid state electrolyte is demonstrated. The quasi-solid state electrolytes allow use of a much thinner electrolyte layer while still maintaining more than half of the power output of the best ionic liquid electrolyte TEC for the same temperature gradient.",[Co(bpy)3]2+/3+ in [C2mim][NTf2] ionic liquid gelled with PVDF or PVDF-HFP,polymer gelation creates flexible nonvolatile quasi-solid electrolytes while retaining high Seebeck coefficient and allowing thinner cells
Temperature dependence of the electrode potential of a cobalt-based redox couple in ionic liquid electrolytes for thermal energy harvesting,FARADAY DISCUSSIONS,10.1039/c5fd00238a,2016,"Increasing the application of technologies for harvesting waste heat could make a significant contribution to sustainable energy production. Thermoelectrochemical cells are one such emerging technology, where the thermal response of a redox couple in an electrolyte is used to generate a potential difference across a cell when a temperature gradient exists. The unique physical properties of ionic liquids make them ideal for application as electrolytes in these devices. One of the keys to utilizing these media in efficient thermoelectrochemical cells is achieving high Seebeck coefficients, Se: the thermodynamic quantity that determines the magnitude of the voltage achieved per unit temperature difference. Here, we report the Se and cell performance of a cobalt-based redox couple in a range of different ionic liquids, to investigate the influence of the nature of the IL on the thermodynamics and cell performance of the redox system. The results reported include the highest Se to-date for an IL-based electrolyte. The effect of diluting the different ILs with propylene carbonate is also reported, which results in a significant increase in the output powers and current densities of the device.",cobalt redox couple in multiple ionic liquids and propylene-carbonate-diluted ionic liquids,ionic-liquid identity controls redox thermodynamics/Seebeck coefficient; dilution improves output power and current density
Organic solvent-based thermo-electrochemical cells with an iron(ii/iii) triflate redox couple for use in harvesting low-grade waste heat at 100-200 °C,SUSTAINABLE ENERGY & FUELS,10.1039/d1se01893k,2022,"The need to harvest low-grade waste heat at 100-200 degrees C has attracted much attention. In this paper, the performance of thermo-electrochemical cells (TECs) with an iron triflate (Fe(CF3SO3)(2)/Fe(CF3SO3)(3)) redox couple is investigated in various organic solvents at temperatures exceeding 100 degrees C. The TECs in dimethylformamide (DMF) showed the maximum Seebeck coefficient of 1.51 mV K-1, and the maximum power density of 660 mW m(-1) was achieved using 0.5 M iron triflate in DMF at Delta T = 120 K (145 degrees C on the hot-side).",Fe(CF3SO3)2/Fe(CF3SO3)3 iron(ii/iii) triflate redox couple in organic solvents such as DMF,organic solvent stability and iron triflate redox thermodynamics enable high-temperature low-grade heat harvesting at 100-200 C
Quantitative visualization of ion and thermal distributions in electrolytes during operation of electrochemical devices by Operando phase-contrast X-ray imaging,JOURNAL OF MATERIALS RESEARCH,10.1557/s43578-022-00581-7,2022,"A fundamental understanding of transport properties (e.g., ion transport, thermal transport, etc.) in electrolytes is important for energy storage/conversion devices such as lithium-ion batteries because poor transport properties in electrolytes cause significant performance degradation, especially for high-power applications. However, few techniques can be used to quantitatively characterize transport behavior in the electrolyte during the device operation. We have determined that the operando phase-contrast X-ray imaging technique allows for simultaneous quantitative characterization of transport phenomena in electrolytes during electrochemical device operation with high temporal (seconds) and spatial (a few 10-microns) resolutions. In this paper, we show the results of quantitative visualization of ion concentration distribution in the electrolyte of an operating lithium-ion battery, electrolyte stratification behavior of an operating lead-acid battery, and dynamic behavior of ion concentration distribution and thermal distribution in the electrolyte of a thermo-electrochemical cell under temperature difference application, respectively.","electrolytes in lithium-ion, lead-acid, and thermo-electrochemical cells imaged by operando phase-contrast X-ray",operando X-ray imaging quantifies ion concentration and thermal distributions during electrochemical and thermocell operation
Polymer Gel with Tunable Conductive Properties: A Material for Thermal Energy Harvesting,ACS OMEGA,10.1021/acsomega.2c05301,2022,"The spontaneous gelation of poly(4-vinyl pyridine)/pyridine solution produces materials with conductive properties that are suitable for various energy conversion technologies. The gel is a thermoelectric material with a conductivity of 2.2-5.0 x 10-6 S m-1 and dielectric constant epsilon = 11.3. On the molecular scale, the gel contains various types of hydrogen bonding, which are formed via self-protonation of the pyridine side chains. Our measurements and calculations revealed that the gelation process produces bias-dependent polymer complexes: quasi-symmetric, strongly hydrogen-bonded species, and weakly bound protonated structures. Under an applied DC bias, the gelled complexes differ in their capacitance/conductive characteristics. In this work, we exploited the bias-responsive characteristics of poly(4-vinyl pyridine) gelled complexes to develop a prototype of a thermal energy harvesting device. The measured device efficiency is S =Delta V/ Delta T = 0.18 mV/K within the temperature range of 296-360 K. Investigation of the mechanism underlying the conversion of thermal energy into electric charge showed that the heat-controlled proton diffusion (the Soret effect) produces thermogalvanic redox reactions of hydrogen ions on the anode. The charge can be stored in an external capacitor for heat energy harvesting. These results advance our understanding of the molecular mechanisms underlying thermal energy conversion in the poly(4-vinyl pyridine)/pyridine gel. A device prototype, enabling thermal energy harvesting, successfully demonstrates a simple path toward the development of inexpensive, low-energy thermoelectric generators.",poly(4-vinyl pyridine)/pyridine proton-conducting gel,self-protonated hydrogen-bonded polymer complexes enable heat-controlled proton diffusion and thermogalvanic H+ redox charge storage
The thermoelectrochemistry of lithium-glyme solvate ionic liquids: towards waste heat harvesting,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,10.1039/c6cp02255c,2016,"Thermoelectrochemistry offers a simple, scalable technique for direct conversion of waste heat into useful electricity. Here the thermoelectrochemical properties of lithium-glyme solvate ionic liquids, as well as their dilute electrolyte analogues, have been investigated using mixtures of tetraglyme (G4, tetraethylene glycol dimethyl ether) and lithium bis(trifluoromethylsulfonyl) imide (Li[NTf2]). The thermoelectrochemical process is entropically-driven by release of the glyme from the lithium-glyme complex cation, due to electrodeposition of lithium metal at the hotter lithium electrode with concomitant electrodissolution at the cooler lithium electrode. The optimum ratio for thermochemical electricity generation is not the solvate ionic liquid (equimolar mixture of Li[NTf2] and glyme), but rather one Li[NTf2] to four G4, due to the mixtures relatively high ionic conductivity and good apparent Seebeck coefficient (+1.4 mV K-1). Determination of the lithium-glyme mixture thermal conductivity enabled full assessment of the Figure of Merit (ZT), and the efficiency relative to the Carnot efficiency to be determined. As the lithium electrodeposits are porous, alternating the temperature gradient results in a system that actually improves with repeated use.",lithium-glyme solvate ionic liquids: Li[NTf2]/tetraglyme mixtures with lithium electrodes,"hot-side lithium electrodeposition releases glyme from Li-glyme complex cation, producing entropy-driven thermoelectrochemical voltage"
Gas electrodes with nickel based current collectors for molten carbonate electrolyte thermo-electrochemical cells,JOURNAL OF ENERGY CHEMISTRY,10.1016/j.jechem.2019.05.001,2020,"Thermo-electrochemical cells with inexpensive molten carbonate electrolyte and (CO2 vertical bar O-2) gas electrodes allow the possible conversion of high temperature waste heat from industrial processes into electricity. The cell containing eutectic (Li,Na)(2)CO3 electrolyte with solid MgO dispersion delivers a large Seebeck coefficient of -1.7 mV/K. At present, the (CO2 vertical bar O-2) gas electrodes use metallic gold as current collectors in order to avoid the formation of interfering oxide layers during operation. For further reduction in energy generation cost, the gold current collectors should be replaced with an inexpensive and stable alternative. In this study, the suitability of the (molten carbonate fuel cell) MCFC's nickel-based cathodes to operate the molten-carbonate thermo-electrochemical cell, was investigated. Ni current collectors were examined in two different states, as NiO and as lithiated NiO (LixNi1-xO). The NiO phase shows higher stability than the LixNi1-xO while the Seebeck coefficient remains above -1.2 mV/K. (C) 2019 Science Press and Dalian Institute of Chemical Physics, Chinese Academy of Sciences. Published by Elsevier B.V. and Science Press. All rights reserved.","molten carbonate eutectic (Li,Na)2CO3/MgO electrolyte with CO2/O2 gas electrodes and Ni/NiO/LixNi1-xO current collectors",molten carbonate gas-electrode thermocell converts high-temperature waste heat; NiO provides stable low-cost current collection
Multivoltaic GaSe<SmCl3> clathrate as new hybrid functional nanostructure,BULLETIN OF THE POLISH ACADEMY OF SCIENCES-TECHNICAL SCIENCES,10.24425/bpasts.2021.136726,2021,"The electrical properties and behaviour in constant magnetic field of fourfold expanded GaSe matrix intercalated with SmCl3 guest were investigated by means of impedance spectroscopy and cyclic voltammetry. It was determined that the synthesized GaSe clathrate of 4-fold expansion demonstrates the coexistence of mechanisms of generation, transformation and accumulation of electric energy on a quantum level. These mechanisms are driven from external sources of magnetic, thermal and electric field without Faradaic reactions. Therefore, investigated GaSe structure is of great attraction in multivoltaics as a prototype of new class of materials. Quantum mechanical model of electro motive force of spin nature is proposed. The main focus of work lies in the prospects of synthesized clathrates for the development of power nanosources and gyrator-free delay nanolines controlled by means of magnetic field.",GaSe<SmCl3> clathrate hybrid nanostructure,"magnetic, thermal, and electric fields drive quantum-level energy generation/accumulation without Faradaic reactions"
The study of electrical conductivity and diffusion behavior of water-based and ferro/ferricyanide-electrolyte-based alumina nanofluids,JOURNAL OF COLLOID AND INTERFACE SCIENCE,10.1016/j.jcis.2016.02.001,2016,"Nanofluids are liquids containing suspensions of solid nanoparticles and have attracted considerable attention because they undergo substantial mass transfer and have many potential applications in energy technologies. Most studies on nanofluids have used low-ionic-strength solutions, such as water and ethanol. However, very few studies have used high-ionic-strength solutions because the aggregation and sedimentation of nanoparticles cause a stability problem. In this study, a stable water-based alumina nanofluid was prepared using stirred bead milling and exhibits a high electrical conductivity of 2420 mu S/cm at 23 degrees C and excellent stability after five severe freezing-melting cycles. We then developed a process for mixing the water-based nanofluid with a high-ionic-strength potassium ferro/ferricyanide electrolyte and sodium dodecyl sulfate by using stirred bead milling and ultrasonication, thus forming a stable electrolyte-based nanofluid. According to the rotating disk electrode study, the electrolyte-based alumina nanofluid exhibits an unusual increase in the limiting current at high angular velocities, resulting from a combination of local percolation behavior and shear-induced diffusion. The electrolyte-based alumina nanofluid was demonstrated in a possible thermogalvanic application, since it is considered to be an alternative electrolyte for thermal energy harvesters because of the increased electrical conductivity and confined value of thermal conductivity. (C) 2016 Elsevier Inc. All rights reserved.",water-based alumina nanofluid mixed with potassium ferro/ferricyanide electrolyte and SDS,alumina nanofluid raises electrical conductivity and shear-induced diffusion while keeping thermal conductivity controlled for thermogalvanic use
A supramolecular thermocell consisting of ferrocenecarboxylate and β-cyclodextrin that has a negative Seebeck coefficient,POLYMER JOURNAL,10.1038/s41428-018-0061-7,2018,A p-type supramolecular thermocell was constructed with a ferrocenecarboxylate/ferroceniumcarboxylate pair. The Seebeck coefficient of the cell was improved from -0.86 to -1.20 mV K-1 by the addition of beta-cyclodextrin. Isothermal titration calorimetry and a theoretical investigation demonstrated that the host-guest interaction increased the Seebeck coefficient.,ferrocenecarboxylate/ferroceniumcarboxylate supramolecular thermocell with beta-cyclodextrin,beta-cyclodextrin host-guest interaction changes redox entropy and increases negative Seebeck coefficient
Nitrogen- and Boron-Doped Carbon Nanotube Electrodes in a Thermo-Electrochemical Cell,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,10.1149/2.043205jes,2012,"We explore the prospects of using doped carbon nanotube (CNT) electrodes to increase the output power of thermo-electrochemical cells (TECs). CNT buckypaper electrodes doped with nitrogen and boron were characterized using cyclic voltammetry, impedance spectroscopy, and TEC test with potassium ferri/ferrocyanide electrolyte. Both doping states increased the electrochemically active surface area of CNT electrodes. Electrostatic interactions with potassium ions altered the charge transfer kinetics for doped CNT electrodes; yet, the symmetry of the charge transfer remained approximately equal to that of pristine CNTs. In TEC test, accumulation of potassium ions at doped CNT electrodes was found to reduce short-circuit current. (C) 2012 The Electrochemical Society. [DOI: 10.1149/2.043205jes] All rights reserved.",nitrogen- and boron-doped CNT buckypaper electrodes with potassium ferri/ferrocyanide electrolyte,heteroatom doping increases active surface but potassium-ion accumulation can reduce thermocell short-circuit current
Modeling a thermocell with proton exchange membrane and hydrogen electrodes,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,10.1016/j.ijhydene.2018.09.007,2018,"Direct conversion of thermal energy to electric energy with thermoelectric generators is an attractive technique to recover low-temperature heat. Thermoelectric generators based on galvanic cells (thermocells) provide promising results with respect to the Seebeck coefficient. In this study, based on the theory of non-equilibrium thermodynamics, we simulated a thermocell with hydrogen gas electrodes and a proton exchange membrane. We calculated a maximum power density of 1461 mW/m(2) and a thermal efficiency of 2% relative to the Carnot efficiency for a cell operating with the same gas composition at both the anode and the cathode, but fully saturated at the anode. We predict a Seebeck coefficient in the range of 0.7-1.8 mV/K, higher than those of classical thermoelectric generators. The thermocell presented here provides promising values regarding the Seebeck coefficient. (C) 2018 Hydrogen Energy Publications LLC. Published by Elsevier Ltd. All rights reserved.",PEM thermocell with hydrogen gas electrodes,non-equilibrium thermodynamic model predicts proton/electrode transport-driven Seebeck voltage in H2 PEM thermocell
Electrochemical way of converting low-grade heat energy into electricity based on crystalline hydrate melting and crystallization,INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,10.1016/j.ijheatmasstransfer.2018.01.126,2018,We proposed a concept and calculated an efficiency of the electrochemical cycle of converting the low-grade heat with the temperature difference of 10-80 degrees C into electricity. The cycle could be divided into two stages: the creation of the concentration difference by the crystalline hydrate melting at the high temperature or the crystallization at the low temperature and the electricity generation in the concentration galvanic cell. The calculations prove that the efficiency of the converting heat into the electricity could reach up to 20-35% of the Carnot cycle efficiency. (C) 2018 Elsevier Ltd. All rights reserved.,concentration galvanic cell driven by crystalline hydrate melting/crystallization,temperature-dependent hydrate phase change creates concentration differences that are converted to electricity in a galvanic cell
